,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
215,NS,NS,NS,NS,NS,NS,NS,HH
216,NS,NS,NS,NS,NS,NS,NS,NS
217,NS,NS,NS,NS,NS,LH,NS,NS
218,LL,LL,NS,NS,NS,NS,NS,NS
219,NS,NS,LH,NS,NS,NS,NS,NS
220,NS,NS,NS,NS,NS,NS,NS,NS
221,NS,NS,NS,NS,NS,NS,NS,HH
222,NS,NS,NS,NS,NS,NS,NS,LL
223,NS,NS,NS,NS,NS,NS,NS,NS
224,NS,NS,NS,NS,NS,NS,NS,NS
225,HL,LL,LL,NS,NS,NS,NS,NS
226,HL,NS,NS,NS,NS,NS,NS,HL
227,NS,NS,NS,NS,NS,NS,NS,NS
228,NS,NS,NS,NS,NS,NS,NS,NS
229,NS,NS,NS,NS,NS,NS,NS,NS
230,NS,NS,NS,NS,NS,NS,NS,NS
231,NS,NS,NS,NS,NS,NS,NS,NS
232,NS,NS,NS,NS,NS,NS,NS,NS
233,NS,NS,NS,NS,NS,HL,NS,NS
234,NS,NS,NS,NS,NS,NS,NS,NS
235,NS,NS,NS,NS,LH,LH,NS,NS
236,NS,NS,NS,NS,NS,NS,NS,LH
237,HH,HH,HH,NS,LH,LH,HH,NS
238,NS,NS,NS,NS,NS,NS,NS,NS
239,NS,NS,NS,NS,NS,NS,NS,NS
240,NS,NS,NS,NS,NS,NS,NS,NS
241,NS,LH,NS,NS,NS,NS,NS,NS
242,NS,NS,NS,NS,HH,NS,NS,NS
243,NS,NS,NS,NS,NS,NS,NS,NS
244,NS,NS,NS,NS,NS,NS,NS,NS
245,NS,NS,NS,NS,NS,LL,NS,NS
246,NS,NS,LH,NS,NS,NS,NS,NS
247,NS,NS,NS,NS,HH,NS,NS,NS
248,LH,LH,LH,LH,NS,NS,NS,NS
249,NS,NS,NS,NS,NS,NS,NS,NS
250,NS,NS,NS,NS,NS,NS,NS,NS
251,NS,NS,NS,NS,NS,NS,NS,NS
252,NS,NS,NS,NS,NS,NS,NS,NS
253,HH,HH,NS,NS,LH,NS,NS,NS
254,NS,NS,NS,NS,NS,NS,NS,NS
255,NS,NS,NS,NS,NS,NS,NS,NS
256,NS,NS,NS,NS,NS,NS,HH,NS
257,NS,NS,NS,NS,NS,NS,NS,NS
258,HL,NS,NS,NS,NS,NS,NS,NS
259,NS,NS,NS,NS,NS,NS,NS,NS
260,NS,NS,NS,NS,NS,NS,NS,NS
