,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
304,NS,NS,NS,NS,NS,NS,NS,NS
305,NS,NS,NS,NS,NS,NS,NS,NS
306,NS,NS,NS,NS,NS,NS,LL,NS
307,NS,NS,NS,NS,NS,NS,NS,NS
308,NS,NS,NS,LL,NS,NS,NS,NS
309,NS,NS,NS,NS,NS,NS,NS,NS
310,NS,NS,NS,NS,NS,NS,NS,NS
311,NS,NS,NS,NS,NS,NS,NS,NS
312,NS,NS,NS,HL,NS,LL,NS,NS
313,NS,NS,NS,NS,NS,NS,NS,NS
314,NS,NS,NS,NS,LH,NS,NS,NS
315,NS,NS,NS,NS,NS,NS,NS,NS
316,HH,NS,NS,NS,NS,NS,NS,NS
317,NS,HL,NS,NS,NS,LL,HL,NS
318,NS,NS,NS,NS,NS,NS,NS,NS
319,NS,NS,NS,NS,NS,NS,NS,NS
320,NS,LL,NS,HL,NS,NS,NS,NS
321,NS,NS,NS,NS,NS,NS,NS,NS
322,NS,NS,NS,NS,HL,NS,NS,NS
323,NS,NS,NS,NS,NS,NS,NS,NS
324,NS,NS,NS,NS,NS,NS,NS,NS
325,NS,NS,NS,NS,NS,NS,NS,NS
326,NS,LL,NS,NS,NS,NS,NS,NS
327,NS,NS,NS,NS,HL,NS,LL,NS
328,NS,NS,NS,NS,NS,NS,NS,NS
329,NS,NS,NS,NS,NS,LH,NS,NS
330,NS,NS,NS,LL,NS,NS,NS,NS
331,NS,NS,NS,NS,NS,LH,NS,NS
332,NS,NS,LH,NS,NS,NS,NS,NS
333,NS,NS,NS,NS,NS,NS,NS,NS
334,NS,LL,NS,NS,NS,NS,NS,NS
335,NS,NS,NS,NS,NS,NS,NS,LL
336,NS,NS,NS,NS,NS,LL,NS,NS
337,NS,NS,NS,NS,NS,NS,NS,NS
338,NS,NS,NS,NS,NS,NS,NS,NS
339,NS,NS,NS,NS,NS,NS,NS,NS
340,NS,NS,NS,NS,NS,HL,NS,NS
341,NS,NS,NS,NS,NS,NS,NS,NS
342,NS,LL,NS,NS,LH,NS,HL,NS
343,NS,NS,NS,NS,NS,NS,NS,NS
344,NS,NS,NS,LL,NS,NS,NS,NS
345,HL,NS,NS,NS,LL,NS,LL,NS
346,NS,NS,NS,NS,NS,NS,NS,NS
347,NS,NS,NS,NS,NS,NS,NS,LL
348,NS,NS,NS,NS,NS,NS,NS,NS
349,LH,NS,NS,HH,NS,NS,NS,NS
350,NS,NS,NS,NS,NS,NS,NS,NS
351,NS,NS,NS,NS,LL,NS,NS,NS
352,NS,NS,NS,NS,NS,NS,NS,NS
353,NS,NS,NS,NS,NS,LH,NS,NS
354,NS,NS,LH,NS,NS,NS,NS,NS
355,NS,NS,NS,NS,NS,NS,NS,NS
356,NS,NS,NS,NS,NS,NS,NS,NS
357,NS,NS,NS,NS,LL,NS,NS,NS
358,NS,NS,LH,NS,NS,NS,NS,NS
359,HH,NS,NS,NS,NS,NS,NS,NS
360,NS,HL,NS,NS,NS,NS,NS,NS
361,NS,NS,NS,NS,NS,NS,NS,NS
362,NS,NS,NS,NS,NS,NS,NS,NS
363,NS,NS,NS,NS,NS,NS,NS,NS
364,NS,NS,NS,NS,LL,NS,NS,NS
365,NS,NS,NS,NS,NS,LL,NS,NS
366,NS,NS,NS,NS,NS,NS,NS,NS
367,NS,NS,LL,NS,NS,NS,LL,NS
368,LL,NS,NS,NS,NS,NS,NS,NS
369,NS,NS,NS,NS,NS,NS,NS,NS
370,NS,NS,NS,NS,LL,NS,NS,NS
371,NS,NS,NS,NS,NS,NS,NS,NS
372,NS,NS,NS,NS,HL,NS,NS,NS
373,NS,NS,NS,NS,NS,NS,NS,LL
374,NS,NS,NS,NS,NS,NS,NS,NS
375,HL,NS,NS,LH,NS,NS,NS,NS
376,NS,NS,NS,NS,NS,NS,LL,NS
377,NS,NS,NS,NS,NS,NS,NS,NS
378,NS,NS,NS,NS,NS,NS,NS,NS
379,NS,NS,NS,NS,NS,NS,NS,NS
380,NS,LH,NS,NS,NS,NS,LH,LH
381,NS,NS,NS,NS,NS,NS,NS,NS
382,NS,NS,NS,NS,NS,NS,NS,NS
383,NS,NS,NS,NS,NS,NS,NS,LL
384,LH,NS,NS,NS,NS,NS,NS,NS
385,NS,NS,NS,NS,NS,NS,NS,NS
386,NS,NS,NS,NS,NS,NS,HL,NS
