,lisa_night,lisa_morning_peak,lisa_morning_offpeak,lisa_lunch_hours,lisa_afternoon_offpeak,lisa_evening_peak,lisa_evening_offpeak,lisa_late_night
209,NS,NS,NS,NS,LH,LL,LH,NS
210,LL,NS,LH,NS,NS,LL,NS,NS
211,NS,LH,NS,NS,NS,NS,NS,NS
212,LH,NS,NS,NS,NS,NS,NS,NS
213,NS,NS,NS,LH,HH,LL,NS,NS
214,LH,NS,HH,NS,HH,NS,NS,NS
215,NS,NS,NS,NS,NS,NS,NS,NS
216,LH,NS,NS,NS,NS,HH,HH,NS
217,NS,LH,HH,HH,HH,NS,HH,LL
218,HH,HH,HH,NS,NS,NS,NS,LL
219,LL,NS,NS,NS,LH,HH,LL,NS
220,LL,LL,LL,HH,NS,NS,NS,LL
221,NS,NS,NS,HH,NS,NS,NS,LL
222,NS,NS,NS,NS,NS,NS,NS,LH
223,NS,NS,NS,LL,HH,NS,NS,NS
224,NS,NS,NS,NS,NS,NS,NS,NS
225,NS,NS,NS,NS,NS,HH,NS,LH
226,NS,NS,NS,NS,NS,HH,NS,LH
227,NS,NS,NS,NS,HH,NS,NS,NS
228,NS,NS,NS,NS,HH,NS,NS,HH
229,NS,NS,NS,NS,NS,HH,LL,NS
230,LL,LL,NS,NS,LL,NS,LL,LL
231,LL,HH,LL,NS,LH,LH,NS,LL
232,NS,NS,HH,NS,NS,NS,NS,NS
233,NS,NS,LL,LL,NS,NS,LL,NS
234,NS,NS,NS,LL,NS,NS,LL,NS
235,NS,HH,NS,NS,NS,HH,LH,NS
236,NS,LL,HH,NS,NS,NS,NS,NS
237,LL,LL,LL,LL,NS,NS,NS,NS
238,LL,LH,LL,LL,NS,HH,NS,NS
239,HH,NS,LH,LH,NS,HH,HH,NS
240,NS,NS,NS,NS,NS,NS,NS,NS
241,NS,HH,NS,NS,HL,LL,NS,NS
242,NS,LH,NS,HH,NS,LH,LL,NS
243,LL,NS,LH,HH,NS,NS,LL,NS
244,LL,NS,NS,NS,NS,NS,NS,NS
245,NS,LL,NS,HH,LL,NS,NS,NS
246,NS,LL,NS,NS,LL,NS,NS,NS
247,NS,NS,LL,LL,LH,NS,LH,NS
248,NS,NS,LL,LL,NS,NS,NS,LL
249,NS,NS,NS,LH,NS,NS,NS,LL
250,LL,LH,NS,NS,HH,NS,NS,HH
251,LL,NS,HH,NS,HH,LL,NS,NS
252,LL,NS,NS,NS,NS,HH,NS,NS
253,LL,NS,NS,NS,HH,NS,NS,NS
254,LL,NS,NS,NS,NS,NS,LL,LL
255,LL,NS,NS,NS,LL,NS,NS,LL
256,LL,NS,NS,NS,LL,NS,NS,NS
257,LL,LL,NS,NS,NS,LL,NS,NS
258,LL,NS,NS,NS,NS,LH,NS,NS
259,NS,NS,NS,NS,NS,NS,NS,NS
260,NS,NS,NS,LL,NS,NS,LL,NS
261,LL,NS,NS,NS,NS,NS,LL,LL
262,NS,NS,NS,NS,NS,HH,NS,LL
263,NS,LL,LL,NS,NS,HH,NS,LL
264,HH,LL,NS,NS,NS,NS,NS,LL
265,NS,HH,LL,NS,HH,HH,NS,LL
