segment_id,betweenness,closeness,match_dist
1063804708_8005110122_8005110118_0,7.197333198646396e-07,3.063575234300618e-05,0.0
1063868247_10091991821_10091991823_0,1.1181120258598918e-05,3.93840744484076e-05,0.0
1063868257_5646712313_1637301374_0,0.004499425476034143,3.980525859198483e-05,0.0
1063868258_11480992324_7712371270_0,0.0,3.985412963252946e-05,0.0
1063868258_7712371270_11480992324_0,0.0,3.985412963252946e-05,0.0
1065418830_8886637608_8886637610_0,7.746603363806253e-06,4.5802126117507e-05,0.0
1065513112_5377178488_9785360382_0,6.300823273902722e-06,4.486170664888239e-05,0.0
1067502766_329972755_329972779_0,2.8688317591797564e-05,4.472722894239847e-05,0.0
106863565_6332455567_9567477362_0,3.150411636951361e-06,4.761524461988365e-05,0.0
1069005556_356234392_356234398_0,0.022241369513611796,4.623498076606819e-05,0.0
10700207_94974969_2881272944_0,0.00029673215818980757,4.309464083310703e-05,0.0
10700233_6457387017_6457387018_0,0.0009480150512652153,4.707107033563621e-05,0.0
10700233_94977046_6457387017_0,0.0012140259609071165,4.720471447561406e-05,8.123396596486785e-05
10700873_94999266_3012045343_0,0.0023631559674731047,4.803187199574619e-05,0.0
10700912_5019465639_94990928_0,1.5404818425172988e-06,4.8064626880173604e-05,0.0
10700933_95001168_7715544177_0,7.83499166624577e-06,4.803961745259539e-05,5.143983215793219e-09
10700959_4930067666_7055004530_0,0.00015115662407192283,4.7610057347497966e-05,0.0
1070613452_4842849687_4842849685_0,3.150411636951361e-06,4.644540555228084e-05,0.0
1070834026_5619254338_2624648328_0,0.0002610548512551139,2.6623741752132927e-05,0.0
107141639_4822370377_1231836546_0,0.005328823425425526,4.780942170940472e-05,7.4203313129806874e-09
107141642_103288812_1231836544_0,0.0010721437951411686,4.73045884798852e-05,0.0
107146724_4548266898_315543953_0,3.2451133895651296e-06,4.391164902216871e-05,3.297544840577345e-07
1071806379_5504568640_4789120206_0,0.0004539307540784888,3.478110166501519e-05,0.0
1072138404_5507776050_3907590945_0,0.013793209252992576,3.6791322756242096e-05,0.0
1072138404_5507776052_4699990711_0,0.008731918278700944,3.6751618121427565e-05,0.0
1072968968_9843558226_5510387197_0,0.0,4.2743480937448693e-05,0.0
1073709008_7052682175_5348396134_0,0.00020116546290216677,4.389368414700434e-05,0.0
1073712888_8251767794_5655132569_0,2.6566998333249154e-05,4.3453701974995986e-05,0.0
1073830092_392306484_4642467007_0,0.002775361129349967,3.929029485392172e-05,4.900579504163707e-05
1073830273_4642467007_7117091534_0,0.0027330105055810897,3.928378927879611e-05,0.0
1073841990_3256606398_4915318093_0,6.291353098641345e-05,3.2626105698118276e-05,0.0
1073841991_5426108052_5426108069_0,7.853932016768524e-06,3.316356346056207e-05,0.0
1073841991_5426108069_5426108052_0,7.853932016768524e-06,3.316356346056207e-05,0.0
1073856286_6789893814_7045191444_0,0.00028054447194302744,4.575209609224294e-05,0.0
1073856290_1332882089_302294084_0,0.0009480971261174807,4.516968833059176e-05,0.0
1073932210_4912042186_4548266947_0,7.203646648820647e-06,4.4187636585228686e-05,0.0
107467907_8434728960_11267129585_0,0.010099626243749684,3.940569099374772e-05,0.0
107492958_393098029_393098019_0,8.71256124046669e-05,3.8220715093752425e-05,3.830197203899559e-09
107492975_5137327075_331164645_0,3.962321329360069e-05,3.72160826817878e-05,0.0
1076261172_5655333514_5655333513_0,6.944795191676347e-07,4.0259434462987866e-05,0.0
1076490485_1641060589_90647445_0,0.0,3.994701899286791e-05,9.019752132266871e-08
1076841890_1709825110_8487967072_0,1.3990605586140714e-05,3.999127082411657e-05,0.0
1076843244_823053854_823054537_0,3.212914793676448e-05,3.9825334320900776e-05,0.0
1076846516_1709825359_1709825355_0,0.001622032678418102,4.016289202142053e-05,0.0
1077425397_11396653024_9878852260_0,0.0009334183544623465,4.7760106479788606e-05,0.0
1077712302_5026367689_5026367693_0,0.0,4.5895265338015184e-05,0.0
1077761289_11411595006_2035770717_0,0.0005103982524369918,4.1381959530290796e-05,0.0
1077838025_1710918844_4840856971_0,0.0004935729077226122,4.8034948580576814e-05,0.0
1077838025_4840856971_1710918844_0,0.0003458886812465276,4.8034948580576814e-05,0.0
1078105124_10115116690_5492527186_0,0.01496208773170362,4.093741196440918e-05,0.0
1078105124_3409791332_5495330882_0,0.014964752007677155,4.0603810125660624e-05,0.0
1078977169_9891148275_9891148233_0,2.7147835749280264e-06,2.9141804222841802e-05,0.0
1079343920_7709539294_5455598944_0,7.197333198646396e-07,3.860556245880444e-05,0.0
1079662119_3258984585_9896591747_0,0.001165084095156321,3.930333859747862e-05,0.0003366819953947599
1080030031_9109998098_7561275313_0,0.0,4.0653719303615076e-05,0.0
1080164004_5623976252_2369504189_0,0.0028959543411283396,2.8358876219850578e-05,0.0
1080414727_6292475962_383300233_0,7.430930855093691e-06,3.468193680935409e-05,0.0
1081656635_3713953170_3713953171_0,0.004937124349714632,4.2526637983611184e-05,0.0
1081704240_9914104015_9914113118_0,3.150411636951361e-06,2.6479295914755307e-05,0.0
1082225624_354906282_355784572_0,4.314611849083287e-05,4.712209104278273e-05,0.0
1082233492_5495706608_9565183801_0,3.150411636951361e-06,4.694798273559708e-05,0.0
1082824170_4743998349_316452818_0,2.800646497297843e-05,4.534444322270529e-05,0.0
1082906014_4484012580_4484012579_0,0.0,4.0215998171363836e-05,0.0
1083470599_2381142522_4995004564_0,3.3524420425274e-06,4.604141545052323e-05,0.0
108350988_1347035126_91279016_0,0.0027537880701045507,4.3824860336317784e-05,0.0
108350992_1707836838_1472098143_0,0.0004802704682054649,4.2092417078594605e-05,0.0
108350992_91281088_5626229655_0,0.0007439390878327187,4.24295128357842e-05,0.0
1083570951_9930026678_9930026654_1,7.569826758927218e-06,3.881532958339915e-05,3.496247081525706e-05
1083673897_343340442_343340446_0,4.419415121975857e-07,3.9312233368301184e-05,0.0
1083680998_7676077942_328568325_0,0.0013751073286529622,4.528328055680674e-05,0.0
1084562986_316771371_4258459359_0,0.00406559674731047,4.570258718153074e-05,0.0
108484234_239078142_6989087573_0,3.150411636951361e-06,2.7272064403811588e-05,0.0
108487812_1244654083_3351536377_0,5.377165513409768e-05,3.210075000338327e-05,0.0
108487812_3351536377_1244654204_0,3.801959694934087e-05,3.210231042251331e-05,0.0
1085270471_409567561_409567579_0,0.0004551050558108995,3.535153331113204e-05,0.0
1085737164_4773063173_328876099_0,5.3613818879741396e-05,4.4927306445771345e-05,0.0
1085752850_6997190564_699615021_0,0.0006092668821657659,3.525222377937389e-05,0.0
1085752854_6997190564_312254359_0,0.0013295305318450426,3.5222629934238774e-05,0.0
1085781624_5174102324_4901264125_0,7.170185362897116e-05,4.0929032540542717e-05,0.0
1086263418_319949431_319950017_0,4.408050911662205e-05,4.854803947320611e-05,0.0
1086263418_319949449_310350491_0,6.130360119197939e-06,4.845118349713695e-05,0.0
1086263418_319949449_319949872_0,8.529471185413404e-06,4.8370728101255935e-05,0.0
